"","V1","V2","V3","V4"
"1",9,19,28,26
"2",1,2,3,2
"3",1,2,3,2
"4",1,1,2,1
"5",2,10,12,11
"6",4,13,17,16
"7",1,4,5,4
"8",1,38,39,38
"9",1,13,14,13
"10",1,9,10,9
"11",4,3,7,6
"12",1,1,2,1
"13",1,12,13,12
"14",1,2,3,2
"15",1,1,2,1
"16",1,8,9,8
"17",1,7,8,7
"18",1,4,5,4
"19",1,1,2,1
"20",2,2,4,3
"21",2,24,26,24
"22",5,2,7,5
"23",1,4,5,4
"24",5,22,27,26
"25",7,4,11,10
"26",1,3,4,3
"27",1,3,4,3
"28",1,3,4,3
"29",1,3,4,3
"30",4,3,7,5
"31",1,2,3,2
"32",1,1,2,1
"33",1,2,3,2
"34",1,14,15,14
"35",1,6,7,6
"36",1,12,13,12
"37",1,1,2,1
"38",1,4,5,4
"39",1,2,3,2
"40",1,13,14,13
"41",2,2,4,3
"42",1,5,6,5
"43",1,3,4,3
"44",2,6,8,6
"45",2,1,3,2
"46",1,2,3,2
"47",1,4,5,4
"48",2,5,7,6
"49",2,1,3,2
"50",2,4,6,5
"51",3,14,17,15
"52",1,6,7,6
"53",1,6,7,6
"54",1,1,2,1
"55",1,1,2,1
"56",1,1,2,1
"57",1,6,7,6
"58",4,8,12,11
"59",1,5,6,5
"60",3,21,24,21
"61",1,2,3,2
"62",1,5,6,5
"63",1,6,7,6
"64",1,5,6,5
"65",1,1,2,1
"66",1,1,2,1
"67",1,1,2,1
"68",1,1,2,1
"69",1,1,2,1
"70",1,1,2,1
"71",1,1,2,1
"72",1,7,8,7
"73",1,1,2,1
"74",1,2,3,2
"75",1,16,17,16
"76",1,1,2,1
"77",2,8,10,8
"78",2,15,17,16
"79",1,6,7,6
"80",3,15,18,17
"81",3,37,40,37
"82",2,37,39,38
"83",1,11,12,11
"84",1,19,20,19
"85",9,1,10,9
"86",3,2,5,4
"87",1,6,7,6
"88",1,7,8,7
"89",1,1,2,1
"90",3,1,4,3
"91",1,1,2,1
"92",1,9,10,9
"93",1,1,2,1
"94",2,8,10,9
"95",1,19,20,19
"96",1,4,5,4
"97",1,23,24,23
"98",1,6,7,6
"99",4,2,6,5
"100",2,5,7,5
"101",1,42,43,42
"102",1,3,4,3
"103",3,14,17,14
"104",2,30,32,31
"105",1,2,3,2
"106",1,24,25,24
"107",1,2,3,2
"108",1,1,2,1
"109",1,10,11,10
"110",1,6,7,6
"111",2,10,12,10
"112",2,12,14,12
"113",3,8,11,10
"114",1,6,7,6
"115",1,6,7,6
"116",1,9,10,9
"117",1,2,3,2
"118",2,1,3,2
"119",1,3,4,3
"120",1,16,17,16
"121",1,17,18,17
"122",2,3,5,4
"123",6,2,8,6
"124",2,4,6,4
"125",1,2,3,2
"126",2,2,4,2
"127",1,37,38,37
"128",1,1,2,1
"129",1,3,4,3
"130",1,1,2,1
"131",1,2,3,2
"132",1,9,10,9
"133",1,4,5,4
"134",1,7,8,7
"135",1,5,6,5
"136",1,6,7,6
"137",1,3,4,3
"138",2,24,26,24
"139",3,1,4,3
"140",3,14,17,16
"141",1,6,7,6
"142",26,9,35,30
"143",1,13,14,13
"144",1,4,5,4
"145",6,22,28,25
"146",3,3,6,3
"147",3,2,5,3
"148",4,8,12,9
"149",1,1,2,1
"150",1,3,4,3
"151",1,4,5,4
"152",1,3,4,3
"153",1,5,6,5
"154",2,1,3,2
"155",1,9,10,9
"156",3,5,8,6
"157",1,2,3,2
"158",2,25,27,26
"159",1,4,5,4
"160",1,11,12,11
"161",3,29,32,29
"162",5,8,13,9
"163",1,12,13,12
"164",1,5,6,5
"165",1,1,2,1
"166",1,1,2,1
"167",1,19,20,19
"168",1,5,6,5
"169",18,4,22,19
"170",1,1,2,1
"171",1,9,10,9
"172",1,1,2,1
"173",1,4,5,4
"174",1,3,4,3
"175",1,1,2,1
"176",1,29,30,29
"177",1,3,4,3
"178",1,1,2,1
"179",2,12,14,12
"180",1,3,4,3
"181",3,22,25,22
"182",1,6,7,6
"183",2,22,24,23
"184",3,11,14,13
"185",13,9,22,19
"186",1,10,11,10
"187",2,1,3,2
"188",1,29,30,29
"189",2,4,6,4
"190",1,1,2,1
"191",6,6,12,6
"192",2,33,35,33
"193",1,1,2,1
"194",5,4,9,8
"195",2,17,19,18
"196",2,4,6,5
"197",2,22,24,23
"198",1,17,18,17
"199",2,6,8,7
"200",1,1,2,1
"201",1,17,18,17
